Data NuEer,bidder,house,date,lot,profit,Net  Payment,rank,realisation in final auAtion,bid,EstDated MinDum,EstDated MaxDum,Aatalog PriAe,Aatalog Du10y,EstDate Min,EstDate Max,Grade Min ,Grade Max,No Grade,ExAlusively US,No Value
1947,1,C,35508,719,84.79166667,84.79166667,2,325,600,250,300,0,0,250,300,2,2,0,0,0
1948,3,C,35508,719,34.79166667,34.79166667,3,325,500,250,300,0,0,250,300,2,2,0,0,0
1949,5,C,35508,719,14.79166667,14.79166667,4,325,420,250,300,0,0,250,300,2,2,0,0,0
1950,7,C,35508,719,3.125,3.125,5,325,350,250,300,0,0,250,300,2,2,0,0,0
1951,9,C,35508,72,0,0,1,210,220,0,0,525,1,525,525,3,3,0,1,0
1952,3,C,35508,72,0,0,2,210,110,0,0,525,1,525,525,3,3,0,1,0
1953,5,C,35508,720,0,0,1,900,550,0,0,1300,1,1300,1300,3,3,0,0,0
1954,5,C,35508,728,0,0,1,230,220,0,0,450,1,450,450,1,1,0,0,0
1955,9,C,35508,73,0,0,1,210,220,0,0,525,1,525,525,3,3,0,1,0
1956,3,C,35508,73,0,0,2,210,110,0,0,525,1,525,525,3,3,0,1,0
1957,5,C,35508,730,0,0,1,300,350,0,0,900,1,900,900,2,2,0,0,0
1958,5,C,35508,731,0,0,1,3750,3750,0,0,7500,1,7500,7500,3,3,0,0,0
1959,5,C,35508,733,0,0,1,220,170,0,0,375,1,375,375,3,3,0,0,0
1960,9,C,35508,74,0,0,1,210,220,0,0,525,1,525,525,3,3,0,1,0
1961,3,C,35508,74,0,0,2,210,90,0,0,525,1,525,525,3,3,0,1,0
1962,3,C,35508,742,300,-300,1,900,2000,1000,1200,0,0,1000,1200,3,2,0,0,0
1963,1,C,35508,742,114.1666667,114.1666667,2,900,1500,1000,1200,0,0,1000,1200,3,2,0,0,0
1964,7,C,35508,742,89.16666667,89.16666667,3,900,1450,1000,1200,0,0,1000,1200,3,2,0,0,0
1965,2,C,35508,742,39.16666667,39.16666667,4,900,1250,1000,1200,0,0,1000,1200,3,2,0,0,0
1966,5,C,35508,742,30.83333333,30.83333333,5,900,1200,1000,1200,0,0,1000,1200,3,2,0,0,0
1967,6,C,35508,742,18.33333333,18.33333333,6,900,1100,1000,1200,0,0,1000,1200,3,2,0,0,0
1968,4,C,35508,742,8.333333333,8.333333333,7,900,1000,1000,1200,0,0,1000,1200,3,2,0,0,0
1969,6,C,35508,743,45,-45,1,350,500,350,400,0,0,350,400,2,2,0,0,0
1970,7,C,35508,743,45,45,2,350,440,350,400,0,0,350,400,2,2,0,0,0
